Lot Nr.;S16-FC.Sampl.FillingSize (mL);S16-FC.ProducedAmt (EA);S16-FC.ReceivedQty_1 (GM);S16-FC.ReceivedQty_2 (GM);S16-FC.ReceivedQty_Sum (GM);S16-Bulk storage duration_1 (d);S16-Bulk storage duration_2 (d);S16-FC.Sampl.DissolutionTime (min);S16-FC.Sampl.Osmolality (mOsmol/kg);S16-FC.Sampl.pH;S16-FC.Sampl.FII (IU/100 IU FIX);S16-FC.Sampl.FII (IU/mL);S16-FC.Sampl.FVII (IU/100 IU FIX);S16-FC.Sampl.FIXClottingAssay (IU/ml);S16-FC.Sampl.NAPTTRatio;S16-FC.Sampl.ResidualMoisture (%);S16-FC.Sampl.SodiumChloride (mg/ml);S16-FC.Sampl.SodiumCitrate (mg/ml);S 16 Protein [mg/ml];S16 Density [g/mL];FX aus Lims (IU/ml);Grouping1 - Identified_ChangePoints;Grouping2 - PR2583066;Grouping3 - SpecialLots;S15 Ansatzlinie;S15 Abfüllanlage;S15 Gefriertrockner;S15 - Lotsize (g) bzw. theoret. Lotsize (g);S13.Ansatzlinie PA0001 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0001 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0002 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0002 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0015 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0015 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0016 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0016 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0017 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0017 - Stirring Speed 150rpm Duration (min);S14 Filter 1012613;S14 Filter 1019217;S14 Filter 1024279;S14 Filter 1030721;S14 Filter 1031277;S14 Filter 1032679;S14 Filter 1032680;S14 Filter 1046906;S14 Filter 1048615;S14 Filter 1048616;S14 Filter 1051534;S14 Filter 1052502;S14 Filter 1059913;S14 Filter 1065593;S14 Filter 1065594;S14 Filter 1078741;S14 Filter 1081112;S14 Filter 1087049;S14 Filter 1087050;S14 Filter 1087052;S14 Filter 1087053;S14 Filter 1094988;S14 Filter 1094989;S14 Filter 1102978;S14 Filter 1107365;S14 Filter 1109643;S14 Filter 1114076;S14 Filter 1119434;S14 Filter 1119436;S14 Filter 1119437;S14 Filter 1121461;S14 Filter 1125476;S14 Filter 1129766;S14 Filter 1138329;S14 Filter 1141103;S14 Filter 1142255;S14 Filter 1145524;S14 Filter 1148856;S14 Filter 1153062;S14 Filter 1160029;S14 Filter 1160390;S14 Filter 1160743;S14 Filter 1160744;S14 Filter 1164478;S14 Filter 1168562;S14 Filter 1168563;S14 Filter 1170862;S14 Filter 1177379;S14 Filter 1186524;S14 Filter 1193336;S14 Filter 1193337;S14 Filter 1205471;S14 Filter 1217312;S14 Filter 1220903;S14 Filter 1221898;S14 Filter 1222373;S14 Filter 1222374;S14 Filter 1223235;S14 Filter 1226810;S14 Filter 797881;S14 Filter 820891;S14 Filter 825483;S14 Filter 847424;S14 Filter 859241;S14 Filter 861062;S14 Filter 891065;S14 Filter 899401;S14 Filter 904894;S14 Filter 904895;S14 Filter 904896;S14 Filter 915902;S14 Filter 924526;S14 Filter 926060;S14 Filter 950205;S14 Filter 966202;S14 Filter 966203;S14 Filter 971763;S14 Filter 981374;S14 Filter 981375;S14 Filter 995694
C1T001;600;9366;29565.0;;29565.0;21.0;;1.0;295;6.945;0.2;0.181;0;116.6485;0.88;0.27496382;7.59;4.08;0.89243649;1.0067;0.096;1_before_CP_Dec2022;1_before_PR2583066;1_outine;3.1;3;7;48510.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T003;1200;4957;30964.0;;30964.0;20.0;;1.0;292;6.933;0.1;0.162;0;120.166;0.91;0.16941578;7.72;3.91;0.84249069;1.0063;0.1;1_before_CP_Dec2022;1_before_PR2583066;1_outine;1.2;1;8;51400.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T002;600;10122;5178.0;27534.0;32712.0;20.0;28.0;1.0;294;6.97;0.2;0.226;0;122.4925;0.92;0.25600506;7.72;4.0;0.99108967;1.0067;0.114;1_before_CP_Dec2022;1_before_PR2583066;1_outine;1.1;1;8;52520.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T005;1200;6091;27980.0;11242.0;39222.0;35.0;22.0;1.0;293;7.055;0.1;0.173;0;117.23;0.92;0.28097632;7.77;3.92;0.8135384;1.0066;0.096;1_before_CP_Dec2022;1_before_PR2583066;1_outine;3.1;3;11;63280.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T004;600;10113;21488.0;11136.0;32624.0;31.0;16.0;1.0;292;7.028;0.2;0.215;0;115.3815;0.94;0.36780126;7.61;3.8;0.88322682;1.0065;0.103;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.2;2;8;52500.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T006;600;10037;19304.0;13799.0;33103.0;30.0;24.0;1.0;289;6.985;0.2;0.202;0;123.849;0.88;0.35089154;7.76;3.63;0.91607687;1.0064;0.106;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.1;2;9;51840.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T008;600;9533;3504.0;28348.0;31852.0;23.0;-10.0;1.0;292;6.967;0.2;0.217;0;122.552;0.95;0.5890367;7.61;3.85;0.9472417;1.0065;0.13;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.1;2;11;49380.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T009;1200;6177;31971.0;6406.0;38377.0;28.0;21.0;1.0;290;6.98;0.1;0.177;0;120.0285;0.88;0.17543142;7.65;3.89;0.85450443;1.0065;0.105;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.1;2;11;63630.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T010;600;10129;24761.0;7361.0;32122.0;23.0;21.0;1.0;290;7.032;0.2;0.182;0;118.7465;0.88;0.49292338;7.77;3.89;0.9412527;1.0065;0.145;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.1;2;8;52330.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1T011;600;7241;22153.0;;22153.0;44.0;;1.0;289;6.982;0.2;0.193;0;106.819;0.89;0.32232;7.74;3.96;0.9050707;1.0067;0.114;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.1;2;9;37820.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
